Url,Headline,ProxyIP,Publication Date,Content,Image URL
https://www.bbc.co.uk/sport/football/68261461,Lionel Messi: Chinese officials call off Argentina games amid anger over star not playing - BBC Sport,185.199.229.156,10 February 2024,Chinese officials call off two Argentina friendlies after Lionel Messi failed to turn out for Inter Miami in an exhibition match in Hong Kong.,No Image Found
https://www.bbc.co.uk/news/world-asia-china-68236902,Lionel Messi: Chinese fury as superstar plays in Japan after missing Hong Kong match - BBC News,188.74.210.207,8 February,"The superstar sat out a Hong Kong match just days before, sparking anger and conspiracy theories.",https://ichef.bbci.co.uk/news/976/cpsprodpb/C34E/production/_132589994_gettyimages-1977641072.jpg
https://www.bbc.co.uk/sport/av/football/68218309,Lionel Messi: Inter Miami star defends Hong Kong friendly absence - BBC Sport,185.199.228.220,6 February,Argentina star Lionel Messi says it was a shame he could not play in Inter Miami’s friendly against a League XI in Hong Kong.,https://ichef.bbci.co.uk/images/ic/400xn/p0h99wc7.jpg
https://www.bbc.co.uk/sport/football/68213901,Lionel Messi defends injury absence in Hong Kong friendly after fans boo - BBC Sport,188.74.210.21,6 February 2024,"Forward Lionel Messi says ""I always want to play"" after fans booed Inter Miami because he missed a pre-season friendly in Hong Kong.",No Image Found
https://www.bbc.co.uk/sport/football/68199137,Lionel Messi: Fans angered as World Cup winner fails to play in Hong Kong - BBC Sport,185.199.231.45,5 February 2024,Angry fans in Hong Kong boo Inter Miami during a pre-season friendly game as World Cup winner Lionel Messi is left on the bench.,No Image Found
https://www.bbc.co.uk/sport/football/68175444,Al-Nassr 6-0 Inter Miami: Lionel Messi comes off bench late on in friendly loss - BBC Sport,188.74.210.207,1 February 2024,"Lionel Messi's Inter Miami suffer a thumping 6-0 friendly defeat by Al-Nassr, with the Argentine featuring off the bench for the final seven minutes.",No Image Found
https://www.bbc.co.uk/sport/football/68160107,Lionel Messi: Napkin which detailed Argentine's first Barcelona contract to be auctioned - BBC Sport,45.155.68.129,31 January 2024,"The napkin on which 13-year-old Lionel Messi's first Barcelona contract was signed will be auctioned - with a starting price of £300,000.",No Image Found
https://www.bbc.co.uk/newsround/68167738,Lionel Messi: Footballer's first Barcelona 'napkin' contract to be sold at auction - BBC Newsround,188.74.210.207,1 February,"Back in the year 2000, Barcelona signed a famous napkin, promising to sign Messi - who was a boy at the time. Find out more here.",https://ichef.bbci.co.uk/news/976/cpsprodpb/D3CE/production/_132522245_gettyimages-1139685681.jpg
https://www.bbc.co.uk/sport/football/67953843,"Fifa Best Awards: Lionel Messi wins best male player, Pep Guardiola named best male coach - BBC Sport",154.95.36.199,15 January 2024,"Argentina's Lionel Messi wins men's player of the year at the Fifa Best Awards, with Manchester City boss Pep Guardiola claiming the men's coach prize.",No Image Found
https://www.bbc.co.uk/sport/live/football/67865147,"The Best FIFA Football Awards LIVE stream: Lionel Messi, Erling Haaland, Kylian Mbappe among nominees - Live - BBC Sport",38.154.227.167,15 January 2024,Watch live coverage and follow live text of The Best FIFA Football Awards ceremony from London.,No Image Found
https://www.bbc.co.uk/sport/football/67806904,Luis Suarez: Uruguay striker joins Inter Miami & reunites with Lionel Messi - BBC Sport,188.74.210.207,22 December 2023,"Uruguay striker Luiz Suarez joins Inter Miami, where he will link up again with ex-Barcelona team-mates Lionel Messi, Sergio Busquets and Jordi Alba.",No Image Found
https://www.bbc.co.uk/sport/football/67718748,Lionel Messi: Six of Argentina captain's shirts from 2022 World Cup sell for combined £6.1m - BBC Sport,188.74.210.21,14 December 2023,Six of Lionel Messi's shirts worn during the 2022 World Cup sell for a combined $7.8m (£6.1m) at a Sotheby's auction in New York.,No Image Found
