Url,Headline,ProxyIP,Publication Date,Content,Image URL
https://timesofindia.indiatimes.com/sports/football/top-stories/watch-lionel-messi-shocked-as-cristiano-ronaldo-less-al-nassr-thrash-inter-miami-6-0/articleshow/107346616.cms, Watch: Lionel Messi shocked as Cristiano Ronaldo-less Al Nassr thrash Inter Miami 6-0 ,188.74.183.10,"Feb 02, 2024"," Al Nassr secured a 6-0 victory over Inter Miami in a friendly match despite the absence of Cristiano Ronaldo due to injury. For Miami, Lionel Messi had limited playing time. Ronaldo's calf injury canceled Al Nassr's China tour, but Brazilian player Talisca scored a hat-trick, contributing to the team's impressive performance. ","https://static.toiimg.com/thumb/imgsize-123456,msid-107346616,width-300,resizemode-4/107346616.jpg"
https://timesofindia.indiatimes.com/sports/football/top-stories/an-invitation-to-lionel-messi-for-a-shot-at-another-olympic-gold/articleshow/107647449.cms, An 'invitation' to Lionel Messi for a shot at another Olympic gold ,188.74.183.10,"Feb 13, 2024"," The door is open for Lionel Messi to play at this year's Paris Olympics, Argentina's under-23 manager Javier Mascherano said. Argentina secured their place at the Games after beating Brazil 1-0 on Sunday in the final four of South America's qualifying tournament. Inter Miami forward Messi, who guided Argentina to World Cup victory in Qatar in 2022, won gold with the national team at the Beijing Olympics in 2008. ","https://static.toiimg.com/thumb/imgsize-123456,msid-107647449,width-300,resizemode-4/107647449.jpg"
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messis-impactful-appearance-in-inter-miamis-friendly-match-in-japan/articleshow/107512573.cms, Lionel Messi makes impactful appearance in Inter Miami's friendly match in Japan ,188.74.183.10,"Feb 08, 2024", Inter Miami has one more friendly match against Argentina's Newell's Old Boys before the start of the new Major League Soccer (MLS) season on February 21. Messi's appearance in Japan provided fans with a memorable experience ahead of the upcoming season. ,"https://static.toiimg.com/thumb/imgsize-123456,msid-107512573,width-300,resizemode-4/107512573.jpg"
https://timesofindia.indiatimes.com/sports/football/top-stories/all-you-need-to-know-as-lionel-messi-makes-30minute-appearance-in-tokyo-after-hong-kong-disappointment/articleshow/107503273.cms, Lionel Messi makes a 30-minute appearance in Tokyo after Hong Kong disappointment ,188.74.183.10,"Feb 08, 2024"," ​​After the disappointment of Lionel Messi's absence in Hong Kong, the Argentine football icon made a 30-minute appearance in Tokyo during Inter Miami's latest exhibition match in Asia. However, despite his efforts to energize his teammates and create scoring opportunities, the match ended in a 0-0 draw in regulation, leading to a penalty shootout won by Vissel Kobe. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-to-start-on-bench-in-tokyo-after-hong-kong-controversy/articleshow/107489290.cms, Lionel Messi to start on bench in Tokyo after Hong Kong controversy ,188.74.183.10,"Feb 07, 2024"," Lionel Messi is slated to begin the upcoming pre-season friendly for Inter Miami from the bench, as indicated by the lineup disclosed shortly before the kickoff in Tokyo on Wednesday. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/lionel-messi-hopes-to-play-in-inter-miamis-pre-season-friendly-in-japan/articleshow/107447341.cms, Lionel Messi hopes to play in Inter Miami's pre-season friendly in Japan ,188.74.183.10,"Feb 06, 2024"," Lionel Messi is uncertain about his participation in Inter Miami's pre-season friendly in Japan due to a lingering leg injury. He expressed his desire to play, stating that he feels better and is eager to contribute. Messi's absence in a sold-out friendly in Hong Kong has caused disappointment among fans. He also expressed his eagerness to contribute on the field, despite the uncertainty surrounding his ability to play. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/inter-miami-criticized-after-lionel-messi-misses-hong-kong-match/articleshow/107444931.cms, Inter Miami criticized after Lionel Messi misses Hong Kong match ,188.74.183.10,"Feb 06, 2024"," Lionel Messi's journey with Inter Miami faces challenges as he struggled with injuries and inefficiency. He recently missed a match in Hong Kong due to injuries, disappointing fans and organizers. The absence of Messi led to backlash and the withdrawal of government grants. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/inter-miamis-global-tour-challenges-and-disruptions-due-to-messi-and-suarez-injuries/articleshow/107434349.cms, Lionel Messi and Luis Suarez injuries fail Inter Miami in the marketing department ,188.74.183.10,"Feb 05, 2024"," Inter Miami's global tour, featuring Lionel Messi and Luis Suarez, has faced challenges and negative attention. The team has played five games, winning only one, and conceding 12 goals. Messi and Suarez's absence due to injuries and age-related concerns has led to disappointed fans demanding refunds. The marketing strategy promoting star players has been criticized for unmet expectations. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/gadgets-news/byjus-may-have-put-its-3-year-deal-with-footballer-lionel-messi-on-hold/articleshow/107431701.cms, Byju's may have put its 3-year deal with footballer Lionel Messi on hold ,188.74.183.10,"Feb 05, 2024"," Edtech major Byju's has reportedly put on hold its deal with football icon Lionel Messi a year after he was signed on a three-year deal as a global brand ambassador. Messi was signed for three years with earning an estimated $5-7 million per year. The publication also claimed that Byju’s had also not renewed its endorsement contract with actor Shah Rukh Khan after it ended mid-2023, reportedly because Khan did not want to be associated with the platform given its constant regulatory scrutiny. ",https://static.toiimg.com/photo/25581306.cms
https://timesofindia.indiatimes.com/sports/football/top-stories/messi-beckham-booed-after-superstar-sits-out-hong-kong-friendly/articleshow/107403803.cms," Messi, Beckham booed after superstar sits out Hong Kong friendly ",188.74.183.10,"Feb 04, 2024"," Lionel Messi and David Beckham were booed on Sunday after the Argentina superstar sat out Inter Miami's pre-season friendly in Hong Kong. The World Cup-winning captain, who has a hamstring strain, stayed rooted to the bench throughout the 4-1 friendly win against a Hong Kong select XI. ",https://static.toiimg.com/photo/25581306.cms
