Link Number,Link,Proxy IP,Title,IP
6,https://www.bbc.co.uk/sport/football/67543580,20.44.189.184:3129,"Lionel Messi: Inter Miami forward is 'gripping' United States, says Guillem Balague - BBC Sport",20.44.189.184
5,https://www.bbc.co.uk/sport/football/67553832,20.44.188.17:3129,"Lionel Messi: Inter Miami forward is 'gripping' United States, says Guillem Balague - BBC Sport",20.44.188.17
0,https://www.bbc.co.uk/sport/football/67806904,20.219.183.188:3129,Luis Suarez: Uruguay striker joins Inter Miami & reunites with Lionel Messi - BBC Sport,20.219.183.188
8,https://www.bbc.co.uk/sport/av/football/67475234,20.219.183.188:3129,Brazil v Argentina: Lionel Messi tries to intervene as crowd trouble delays kick-off - BBC Sport,20.219.183.188
4,https://www.bbc.co.uk/sport/football/67632914,20.219.177.85:3129,Lionel Messi: Argentina forward named Time magazine's athlete of the year - BBC Sport,20.219.177.85
2,https://www.bbc.co.uk/sport/football/67718742,20.204.214.79:3129,"The Best Fifa Awards 2023: Aitana Bonmati, Erling Haaland and Lionel Messi on Best Fifa player shortlists - BBC Sport",20.204.214.79
1,https://www.bbc.co.uk/sport/football/67718748,20.219.180.105:3129,Lionel Messi: Six of Argentina captain's shirts from 2022 World Cup sell for combined £6.1m - BBC Sport,20.219.180.105
9,https://www.bbc.co.uk/sport/football/67494143,20.219.180.105:3129,Brazil 0-1 Argentina: Lionel Messi after fans and police clash in stands - BBC Sport,20.219.180.105
7,https://www.bbc.co.uk/sport/football/67516051,20.44.190.150:3129,Rodrygo: Brazil forward says he was racially abused on social media after row with Lionel Messi - BBC Sport,20.44.190.150
3,https://www.bbc.co.uk/sport/football/67689426,65.21.201.197:8080,,
