Url,Headline,ProxyIP,Publication Date,Content,Image URL
https://www.90min.com/posts/lionel-messi-vs-cristiano-ronaldo-complete-head-to-head-record,Lionel Messi vs Cristiano Ronaldo: Complete head-to-head record,38.154.227.167,"Jan 26, 2024",The complete head-to-head record between Lionel Messi and Cristiano Ronaldo in what is the greatest football rivalry of all time. ,"https://images2.minutemediacdn.com/image/upload/c_crop,w_2310,h_1299,x_0,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hmxxxxz1hzvgja570x.jpg"
https://www.90min.com/posts/cristiano-ronaldo-ballon-d-or-the-best-losing-credibility-lionel-messi-wins,Cristiano Ronaldo insists Ballon d'Or and The Best awards are 'losing credibility' after Lionel Messi wins,38.154.227.167,"Jan 22, 2024","Cristiano Ronaldo has insisted that football's top individual prizes, the Ballon d'Or and The Best, are ""losing credibility"".","https://images2.minutemediacdn.com/image/upload/c_crop,w_4898,h_2755,x_0,y_123/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hmpb4vcv2zkcp8pmav.jpg"
https://www.90min.com/posts/how-lionel-messi-luis-suarez-fared-inter-miami-first-2024-pre-season-friendly,"How Lionel Messi, Luis Suarez and co fared in Inter Miami's first 2024 pre-season friendly",38.154.227.167,"Jan 20, 2024","The key talking points from Inter Miami's 0-0 draw with El Salvador as Luis Suarez made his debut alongside Lionel Messi, Sergio Busquets and Jordi Alba.","https://images2.minutemediacdn.com/image/upload/c_crop,w_5128,h_2884,x_0,y_382/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hmk5kksk56j303eebw.jpg"
https://www.90min.com/posts/2024-mls-golden-boot-favorites-ranked,2024 MLS Golden Boot favorites - ranked,38.154.227.167,"Jan 19, 2024","The 2024 MLS season is quickly approaching, meaning the Golden Boot race is set to begin once more.","https://images2.minutemediacdn.com/image/upload/c_crop,w_5295,h_2978,x_0,y_44/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FImagnImages%2Fmmsport%2F90min_en_international_web%2F01hmhnn0na3me6aqa8y4.jpg"
https://www.90min.com/posts/why-lionel-messi-was-not-at-the-best-fifa-football-awards-2023,Why Lionel Messi was not at The Best FIFA Football Awards 2023 to collect his trophy,38.154.227.167,"Jan 16, 2024",An explanation as to why Lionel Messi was not at the ceremony to collect his award for The Best FIFA Men's Player 2023,"https://images2.minutemediacdn.com/image/upload/c_crop,w_6000,h_3375,x_0,y_550/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hm99fbqwe384270ysf.jpg"
https://www.90min.com/posts/why-erling-haaland-deserved-the-best-fifa-mens-player-award,Why Erling Haaland deserved The Best FIFA Men's Player award,38.154.227.167,"Jan 16, 2024",Why Erling Haaland deserved to win 2023 The Best FIFA Men's Player ahead of Lionel Messi.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_2304,h_1296,x_0,y_896/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hm948f52v7nqz9qamd.jpg"
https://www.90min.com/posts/favourites-ballon-dor-2024,The favourites to win the Ballon d'Or 2024 - ranked,38.154.227.167,"Dec 26, 2023",The favourites to win the Ballon d'Or 2024 - Lionel Messi won a record-extending eighth crown last time around in Paris.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_4998,h_2811,x_407,y_184/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hjecmy5b9t1jvjnzs9.jpg"
https://www.90min.com/posts/lionel-messi-record-alongside-luis-suarez,Lionel Messi’s record alongside Luis Suarez,38.154.227.167,"Dec 23, 2023",Luis Suarez's record alongside Lionel Messi as the two friends prepare to reunite at Major League Soccer side Inter Miami.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_5000,h_2812,x_0,y_338/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hjbd8ckcjj88exw1sy.jpg"
https://www.90min.com/posts/where-when-inter-miami-lionel-messi-will-play-turf-2024-mls-season,Where and when Inter Miami & Lionel Messi will play on turf in 2024 MLS season,38.154.227.167,"Dec 22, 2023",Inter Miami & superstar Lionel Messi are set for a few games on turf in their 2024 MLS season.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_5089,h_2862,x_0,y_222/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FGettyImages%2Fmmsport%2F90min_en_international_web%2F01hj6wz9cnk8g0vk6ey0.jpg"
https://www.90min.com/posts/6-transfers-january-2024-window-sancho-dortmund-toney-arsenal,"6 transfers we'd like to see in January: Sancho back to Dortmund, Toney to Arsenal",38.154.227.167,"Dec 20, 2023",The six transfers 90min would love to see take place in the January transfer window.,"https://images2.minutemediacdn.com/image/upload/c_crop,w_1919,h_1079,x_0,y_0/c_fill,w_540,ar_16:9,f_auto,q_auto,g_auto/images%2FvoltaxMediaLibrary%2Fmmsport%2F90min_en_international_web%2F01hj3y937w91ht835nrf.jpg"
