Url,Headline,ProxyIP,Publication Date,Content,Image URL
https://apnews.com/article/lionel-messi-inter-miami-asia-hong-kong-7eb6f85e01e9f4c5ac338f2994b8bd89,Lionel Messi’s global tour with Inter Miami has been very messy and a PR nightmare,188.74.210.21,"February 05, 2024",It’s all been very messy. We’re talking about Lionel Messi and Inter Miami’s global tour of exhibition games where the main show has been Argentina’s 2022 World Cup-winning captain.,https://dims.apnews.com/dims4/default/ad35b82/2147483647/strip/true/crop/4000x2664+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fbc%2F33%2Fb6c4492819fd0bb379d457ead91d%2F168bcd3be9c549069360948e8a14969a
https://apnews.com/article/messi-napkin-auction-45cd785ab747901b976a8b6a9cbae424,Lionel Messi’s first contract with Barcelona was signed on a napkin. Now it’s up for auction,188.74.210.21,"February 03, 2024","Lionel Messi’s record-breaking career with Barcelona started with a contract written on a napkin. It’s up for auction with a starting price of 300,000 pounds.",https://dims.apnews.com/dims4/default/c2b18e1/2147483647/strip/true/crop/3906x2602+37+0/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F0a%2F8a%2F997290080cfcd539d942d5aaf77c%2F5de9541f44274627aedb194f7f818fe3
https://apnews.com/article/lionel-messi-inter-miami-cruise-ship-1ccfb147210d422173b6bb86fc9ea0f4,"Lionel Messi and Inter Miami show off new jersey, help christen a new ship",188.74.210.21,"January 24, 2024","Lionel Messi showed off a new jersey, then helped christen a new ship. Inter Miami celebrated its partnership with cruise line Royal Caribbean International on Tuesday by sending Messi and his teammates to the Port of Miami, where they took part in the traditional naming of a new ship — the Icon of",https://dims.apnews.com/dims4/default/39c8234/2147483647/strip/true/crop/4119x2744+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F35%2F9f%2Fc262739a9006c465c1dd4a5d710a%2Fb713869623c44848a07ff59c0a27d400
https://apnews.com/article/lionel-messi-inter-miami-saudi-arabia-soccer-5f92f290013560f0b5baab8a648fa29a,Lionel Messi and Inter Miami are in Saudi Arabia to continue their around-the-world preseason tour,188.74.210.21,"January 28, 2024","Inter Miami played six preseason matches last season. Most were behind closed doors with few people watching, all took place in Florida and the biggest news probably came when some fans prematurely set off fireworks and got ejected from the exhibition-season opener.",https://dims.apnews.com/dims4/default/39c8234/2147483647/strip/true/crop/4119x2744+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F35%2F9f%2Fc262739a9006c465c1dd4a5d710a%2Fb713869623c44848a07ff59c0a27d400
https://apnews.com/article/lionel-messi-inter-miami-el-salvador-ee2f61bd198357345201a4bc6844990f,Lionel Messi and Inter Miami begin their preseason with a 0-0 draw against El Salvador,188.74.210.21,"January 20, 2024","Four days after being named FIFA’s best men’s player, Lionel Messi began the preseason with Inter Miami of Major League Soccer, which played to a scoreless draw with the El Salvador national team in an exhibition.",https://dims.apnews.com/dims4/default/61e0eb6/2147483647/strip/true/crop/8123x5411+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fbc%2Fbd%2F629028f6d6491094404bc8ea9d56%2F654c6e3591c2409899e366b5ec43aa1f
https://apnews.com/article/qatar-world-cup-asian-cup-6f8a2b03958c9d478b47407daac5324d,Lionel Messi and the World Cup have left Qatar with a richer sports legacy,188.74.210.21,"January 27, 2024",Reminders of Lionel Messi and the 2022 World Cup are not hard to find in Qatar. “Last chance” tournament souvenirs greet visitors on arrival at Doha’s Hamad International Airport.,https://dims.apnews.com/dims4/default/88f318c/2147483647/strip/true/crop/7474x4979+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F94%2F17%2F24e29e668035f849fa759e67ca44%2F75f7d3aefe584cf2b8acbca0afbdee49
https://apnews.com/article/asian-cup-akram-afif-star-player-2968c9723e80993caacebb1fa4d07989,Lionel Messi lit up the 2022 World Cup in Qatar. Now it is Akram Afif’s turn to shine at Asian Cup,188.74.210.21,"January 18, 2024",Lionel Messi lit up the 2022 World Cup in Qatar. Now it is Akram Afif’s turn to shine. It is just over a year on from Messi’s triumph and Qatar is hosting another major tournament.,https://dims.apnews.com/dims4/default/60ba498/2147483647/strip/true/crop/2939x1958+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F54%2Fd5%2F82ea055df74f99b57416f4999d39%2F7d13d4acb1c544c0a5040123593467e5
https://apnews.com/article/messi-inter-miami-newells-0e8e0b17c0990d5cdc198d04c23e28b5,Messi and Inter Miami close messy preseason with 1-1 draw against Newell’s Old Boys,188.74.210.21,"February 16, 2024","Lionel Messi and Inter Miami brought their tumultuous Major League Soccer preseason to a close with a 1-1 draw against Messi’s boyhood club, Newell’s Old Boys.",https://dims.apnews.com/dims4/default/9fd9ed9/2147483647/strip/true/crop/4544x3027+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fba%2Faa%2Fa7f7c4b01ef0ff1c71de70aeaf73%2F29946b6008ae44f5b2a6cc32cb1703a8
https://apnews.com/article/lionel-messi-mls-daaefe11b754f32a24ff01ef7eeab8bd,"Lionel Messi wasn’t seen at MLS media day. Doesn’t matter, since everyone talked about him",188.74.210.21,"January 11, 2024","Lionel Messi was not visible at Major League Soccer’s annual media day on Thursday. His shadow was. Messi is entering his first full season with Inter Miami, which creates an obvious storyline that seems to be on everyone’s mind as MLS teams enter their preseason training camps.",https://dims.apnews.com/dims4/default/0eeb694/2147483647/strip/true/crop/5133x3419+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F59%2F89%2Fa92ed7d4818fb9c5dc70b7e6ddae%2Fceb5694631734a69b05fc50b369553f9
https://apnews.com/article/luis-suarez-inter-miami-lionel-messi-1a8519bd76ab6324ce4b3eb93ab054fa,"Luis Suárez signs with Inter Miami, reunites with former Barcelona teammate Lionel Messi",188.74.210.21,"December 23, 2023","The long-awaited reunion of Luis Suárez and Lionel Messi is now a reality, after the Uruguayan striker signed with Inter Miami on Friday for the 2024 season.",https://dims.apnews.com/dims4/default/857a7ac/2147483647/strip/true/crop/4862x3239+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F91%2Fbc%2F8d1a74588cd490f4229fddc6ba30%2Fcbf9c6e592354cd88c8b3806e61b75e3
